PickupUtc,DropoffUtc,PassengerCount,TripDistance,StoreAndFwdFlag,PULocationID,DOLocationID,FareAmount,TipAmount
01/01/2020 05:48:19,01/01/2020 06:01:58,1,1.08,No,43,162,9,3.2
01/01/2020 05:16:32,01/01/2020 05:28:26,1,1.26,No,249,79,8.5,0
01/01/2020 05:34:05,01/01/2020 05:51:26,1,9,No,161,138,26,7.18
01/01/2020 05:59:37,01/01/2020 06:05:42,1,1.1,No,79,4,6,1.96
01/01/2020 05:44:55,01/01/2020 05:51:10,2,1.85,No,48,238,7.5,0
01/01/2020 06:35:35,01/01/2020 06:44:55,2,1.49,No,158,211,8,2.95
01/01/2020 06:42:54,01/01/2020 06:56:40,1,2.2,No,162,48,11,2.95
01/01/2020 06:33:10,01/01/2020 07:06:57,1,5.9,No,161,226,25,0
01/01/2020 07:05:37,01/01/2020 07:19:43,1,1.9,No,224,68,10.5,2
01/01/2020 05:22:33,01/01/2020 05:28:55,2,1.2,No,263,43,6.5,2
